time;V(/BPF);V(/BSF);V(/HPF);V(/LPF);
0.0120234;-2.00388;0.0543162;8.35518;-8.42463;
0.0120271;-2.20225;0.0510117;8.34802;-8.40911;
0.0120291;-2.31017;0.0492404;8.34053;-8.39568;
0.0120305;-2.3838;0.0480414;8.33222;-8.38288;
0.0120315;-2.43575;0.0471961;8.32384;-8.37139;
0.0120325;-2.48715;0.0463588;8.31293;-8.35795;
0.012033;-2.51592;0.0458888;8.30573;-8.34973;
0.0120335;-2.54249;0.0454559;8.2986;-8.34186;
0.0120341;-2.57329;0.0449533;8.28996;-8.33249;
0.0120348;-2.60943;0.0443632;8.27947;-8.32128;
0.0120355;-2.64639;0.0437587;8.2685;-8.3096;
0.0120368;-2.71823;0.0425793;8.24648;-8.28628;
0.012038;-2.78131;0.0415395;8.22665;-8.26533;
0.0120392;-2.84288;0.0405203;8.20668;-8.24423;
0.0120404;-2.9068;0.0394568;8.18543;-8.22189;
0.0120416;-2.96862;0.0384256;8.16435;-8.19966;
0.0120431;-3.0445;0.0371511;8.13774;-8.17173;
0.0120448;-3.13058;0.0357001;8.10662;-8.13902;
0.012047;-3.24615;0.0337345;8.06318;-8.09352;
0.0120502;-3.40929;0.0309357;7.99865;-8.02596;
0.0120547;-3.63626;0.0269815;7.90239;-7.92552;
0.0120614;-3.97064;0.0210334;7.74635;-7.76311;
0.0120714;-4.45575;0.0121074;7.48773;-7.49504;
0.0120814;-4.92344;0.00315312;7.19881;-7.19659;
0.0120914;-5.37182;-0.00580504;6.88066;-6.869;
0.0121014;-5.79905;-0.0147306;6.53461;-6.51349;
0.0121114;-6.20343;-0.0235995;6.16196;-6.13153;
0.0121214;-6.58327;-0.0323755;5.76424;-5.72456;
0.0121314;-6.93706;-0.041035;5.34299;-5.29426;
0.0121414;-7.26333;-0.0495426;4.89991;-4.84225;
0.0121514;-7.56077;-0.0578756;4.43674;-4.37042;
0.0121614;-7.82813;-0.0659995;3.95535;-3.88056;
0.0121714;-8.06433;-0.0738932;3.45763;-3.37469;
0.0121814;-8.26814;-0.0815481;2.94564;-2.85476;
0.0121843;-8.32014;-0.0839761;2.79124;-2.69789;
0.012186;-8.34529;-0.0855956;2.70422;-2.60919;
0.0121876;-8.36544;-0.0874177;2.62158;-2.52472;
0.0121894;-8.38388;-0.0898971;2.526;-2.42661;
0.0121921;-8.40304;-0.09403;2.38813;-2.2846;
0.012195;-8.41708;-0.098878;2.23929;-2.13088;
0.0121982;-8.42792;-0.104535;2.07021;-1.95614;
0.0122027;-8.4378;-0.112168;1.83743;-1.7157;
0.0122088;-8.44614;-0.12183;1.52062;-1.38923;
0.0122178;-8.45295;-0.134175;1.04609;-0.902325;
0.0122278;-8.45618;-0.144569;0.518163;-0.364009;
0.0122378;-8.45641;-0.151351;-0.0134677;0.174432;
0.0122478;-8.45388;-0.15448;-0.548695;0.712787;
0.0122578;-8.44772;-0.154018;-1.08722;1.25088;
0.0122678;-8.43475;-0.150294;-1.62843;1.78836;
0.0122747;-8.41559;-0.146479;-1.99999;2.15612;
0.0122777;-8.39987;-0.144982;-2.16024;2.31485;
0.0122794;-8.38582;-0.144396;-2.25466;2.4087;
0.0122806;-8.3737;-0.144236;-2.31589;2.46976;
0.0122817;-8.35851;-0.144297;-2.37853;2.53245;
0.0122823;-8.35014;-0.144393;-2.40952;2.56353;
0.0122829;-8.34189;-0.144507;-2.43882;2.59293;
0.0122835;-8.33176;-0.144659;-2.47373;2.62798;
0.0122843;-8.32032;-0.144836;-2.51219;2.6666;
0.0122851;-8.30727;-0.145035;-2.55511;2.70972;
0.0122865;-8.28354;-0.145391;-2.63083;2.78576;
0.0122878;-8.26103;-0.145707;-2.70069;2.85593;
0.0122892;-8.23796;-0.146019;-2.76998;2.9255;
0.0122907;-8.21143;-0.146357;-2.84756;3.0034;
0.012292;-8.1859;-0.146664;-2.91985;3.07596;
0.0122938;-8.15189;-0.147048;-3.01334;3.1698;
0.0122958;-8.11339;-0.147448;-3.11522;3.27204;
0.0122984;-8.06097;-0.147946;-3.24823;3.40549;
